Index,Date,Job Title,Location,Description,Seniority,Azure,Excel,Git,Google Sheets,Power Bi,Python,R,Sas,Sql,Tableau
0,2022-02-11,Analista de Dados,SP,"About The Team

As equipes de Operação do Shopee cobrem todo o processo operacional de ponta a ponta, desde o momento em que o comprador procura um produto listado na plataforma do Shopee, até o momento em que o comprador recebe os produtos. A equipe analisa e monitora os KPIs operacionais em toda a região e conduz a análise da causa raiz quando o desempenho da operação flutua. A equipe de Operações compreende Atendimento ao Cliente, Pagamento, Listagens, Armazém, Logística, Seller Ops e Fraude.

Job Description

Desenvolver estratégias, medir desempenho e executar análises de cenários.
Transformar dados e outras fontes de informação em insights, facilitando o processo de tomada de decisão.
Preparar e participar de reuniões recorrentes, análises de negócios e workshops para apoiar os negócios.
Estabelecer relacionamentos com diferentes parceiros dentro da empresa para otimizar e aprimorar os padrões de operação.


Requirements

Superior Completo.
Forte visão de negócios.
Capacidade de cumprir prazos durante o gerenciamento de vários projetos concorrentes.
Inglês Avançado
Excel avançado
Sólida experiência em escrever consultas SQL; Python como diferencial",Pleno-sênior,0,1,0,0,0,1,0,0,1,0
1,2021-11-01,Analista de Dados,SP,"Como é o ambiente de trabalho?

O Que Nos Move

Entender melhor a jornada do cliente através de dados e informações
Aumentar e fomentar o mindset data-driven na comunidade
Simplificar a jornada de renegociação oferecendo o melhor canal e experiência

Responsabilidades da Oportunidade

Tá bom, mas como vai ser o dia a dia...

Desenhar soluções de extração, tratamento e visualização de dados relevantes aos negócios.
Realizar análises/estudos, propor e estruturar novas estratégias e soluções de negócio.
Alinhamento e parceria com stakeholders na elaboração de diagnósticos, definindo hipóteses e elaborando business cases.
Apoio em discussões sobre a estratégia e uso de dados para o todos Ecossistema.

Requisitos

Para a mágica acontecer precisamos que você se veja nas características abaixo:

Sou pragmática(o) e não tomo nenhuma decisão sem ver os números.
Domino o SAS, Excel, Hadoop e Tableau (até Phyton eu conheço, vai que um dia eles precisam!)
Já criei várias análises robustas e estratégicas na minha carreira.
Sou organizada(o) e tenho senso de dono pra trabalhar com autonomia.
Lido bem (e gosto) de um ambiente com ritmo acelerado",Não aplicável,0,1,0,0,0,0,0,1,0,1
2,2022-02-07,Analista de Dados Jr,SP,"Descrição da empresa

Fundada em 2012, a Pitzi trabalha ao lado das principais seguradoras do país para fazer do seguro de celular algo encantador. Investindo em tecnologia e focando em pilares de Velocidade, Informação e Empatia, a empresa construiu uma cadeia de suprimentos inovadora, centrada em logística reversa, fábricas de remanufatura e processamento digital de sinistros. Com isso, não só ajuda a resolver grandes desafios do setor, como também cria experiências humanas fantásticas para parceiros e consumidores.

Temos um time de alto nível, que tem como propósito autodesenvolvimento e está 100% voltado à filosofia Customer Centric.

Somos certificados pela GPTW. O Great Place to Work é uma consultoria global que apoia organizações a obterem melhores resultados por meio de uma cultura de confiança, alto desempenho e inovação.

Nossa missão é promover a liberdade para conectar, superar expectativas ao reconectar.

Temos como valores:

Focamos no cliente
Sonhamos grande
Sem risco, sem graça
Amamos pareto
Somos essencialistas
Mandamos a real
Colocamos a mão na massa
Assumimos a responsa
Um por todos e todos por um
Valorizamos impacto

Descrição Time: Nós, da área de inteligência, somos responsáveis por mergulhar nos dados para ajudar a maximizar resultados e identificar oportunidades e ameaças para o negócio através de análises, geração de relatórios e, principalmente, construção de ferramentas que auxiliem na tomada de decisões mais inteligentes e acompanhem os impactos de nossas ações.

Responsabilidades do cargo: Como analista de dados seu foco será desenvolver melhorias, atualizar e dar manutenção às ferramentas de BI para um melhor mapeamento dos resultados em cada setor dos serviços da empresa. As informações são vitais para validação de cada uma das ações implementadas e trazer a visão do todo através de toda inteligência de dados.

Qualificações obrigatórias:

Curiosidade e vontade de aprender
Perfil analítico voltado à solução de problemas
Experiência com criação de gráficos e apresentações
Conhecimento em construção de queries em PostgreSQL
Curso superior (completo ou em andamento) em ciência da computação, engenharias ou cursos correlatos
Conhecimento intermediário no pacote Office

Qualificações diferenciais:

Experiência com Tableau e ou outras ferramentas de BI
Entendimento de matemática / estatística

Benefícios [CLT]:

Ticket refeição (Benefício flexível)
Auxílio-transporte (vale-transporte)
Plano de saúde (médico e odontológico)
Antecipação de Salário
Uma folga no mês de aniversário
Eventos de descompressão na sexta-feira
Seguro de vida coletivo
Ambiente descontraído
Sem dress code
Programa de investimento em cursos
Bônus

A Pitzi valoriza a inclusão e diversidade da equipe, por isso incentiva a candidatura de pessoas negras, indígenas, LGBTQIA+, mulheres, transtorno do espectro do autista e pessoas da Amazônia Legal Brasileira no processo seletivo.",Não aplicável,0,0,0,0,0,0,0,0,1,1
3,2022-01-21,Analista de Dados | Super App,SP,"JOB DESCRIPTION

Direcionar um ou mais clientes internos em diversos projetos de Analytics e Insights, através das metodologias de Storytelling e Frameworks the guided analytics. Entender profundamente o negócio para definir as análises necessárias, com o suporte dos demais analistas.

Você será a ""cara"" de dados para os clientes internos e deve ser capaz de entender e planejar a entrega de todas as suas requisições no curto e médio prazos, com suporte mínimo da liderança de dados.

MAIN RESPONSIBILITIES

Desenvolvimento de soluções de Self - Service de dados;
Análises exploratórias, descritivas e prescritivas end-to-end;
Dashboards para Guided Analytics;
Suporte a tomada de decisão;
Ponto de contato (BP) com times de negócio, squads e/ou liderança;
Priorização de demandas;
Identificação de oportunidade de projetos;
Projetos Internos de dados.


REQUIREMENTS AND SKILLS

Estatística Avançada | Análise Descritiva, probabilidade, inferencia, bootstrapping, testes de hipótese, regressão, modelagem e métodos;
Data Visualization | Drill down e Roll up, slice & dice, LOD;
Storytelling | Frameworks de analise, sumarização de problemas, usecases, personas;
Logica de Programação | Escrever e revisar queries em banco de dados, usar parametros, cirar variáveis;
SQL | Porque dado em planilha é coisa do passado;
Looker, Metabase ou outras plataformas de Self-Service de dados | Pra se colocar sempre no lugar do cliente;
Tableau, PowerBi ou outras ferramentas de Data Visualisation | Ninguém aguenta mais tabelão e flat file;
Python ou R | Pra quando a coisa fica bem séria.


Nossa missão é deixar a vida das pessoas mais fácil todos os dias, e você pode fazer parte disso! 🚀

Fundado em Vitória (ES) em 2012, o PicPay é uma empresa de tecnologia que nasceu para tornar a vida financeira mais fácil ao reinventar a forma como as pessoas lidam com dinheiro, fazem compras e se comunicam. Em 2015, a empresa foi investida pelo grupo J&F, um dos maiores conglomerados empresariais do Brasil.

Atualmente, como o super app brasileiro com maior número de usuários — 60 milhões —, o PicPay busca oferecer produtos e serviços para todos os momentos do dia a dia dos clientes, combinando os benefícios de cinco frentes em uma única plataforma: social, carteira digital, marketplace financeiro, PicPay Store e anúncios.

Nossa cultura é nosso filtro!

Nossos valores, são nossos guias para tomada de decisões. São eles: Atitude de Dono, Disciplina, Determinação, Disponibilidade, Simplicidade, Humildade e Franqueza.

Nossas crenças!

Somos uma equipe diversa conectada pelos mesmos valores, e para cumprirmos essa missão, acreditamos que a diversidade é fundamental nessa jornada. O respeito, a ética, a busca pela equidade e a valorização da pluralidade são elementos inegociáveis e fazem parte da prática do nosso dia a dia aqui no PicPay.

Nossos grupos de afinidades como o Afro (pessoas pretas), Inclui (pessoas com deficiência), Pride (LGBTQIA+) e Elas Que Lutem Juntas (mulheres), desenvolvem projetos e treinamentos recorrentes, além de ações estruturantes para que nosso ambiente tenha mais segurança e inclusão.

Por isso, nossas vagas estão abertas para todas as pessoas, independente de gênero, religião, etnia, deficiência, idade, orientação sexual ou qualquer outro fator.

E o mais importante! Nossa equipe é apaixonada pelo que faz, por isso somos PicPay Lovers. Vem fazer parte dessa jornada! 💚

Benefícios para os PicPay Lovers:

Saúde e Bem-estar: Além de Assistência Médica e Odontológica, oferecemos Seguro de Vida e o PicPay Acolhe, um programa que cuida de você e seus familiares, com apoio jurídico, social, psicológico e financeiro. E claro, não podemos esquecer da nossa parceria com a Gympass.

Somos flexíveis: Por meio de um cartão de crédito, bandeira Visa, você recebe seu saldo de Alimentação ou Refeição e Mobilidade, com a opção de escolher o melhor uso do seu saldo.

Licença Paternidade e Maternidade: Sabemos que esse é um momento especial para uma família, e por isso oferecemos Licença Maternidade estendida de 6 meses, e de Paternidade também estendida de 20 dias.

Reconhecemos resultados: PPR - Participação nos Resultados do PicPay.

Quer conhecer mais um pouco e estar sempre conectado com o PicPay? Acompanhe nossas redes sociais. 🌎

Website
LinkedIn
Facebook
Instagram
Glassdoor",Assistente,0,0,0,0,1,1,1,0,1,1
4,2022-02-10,Analista de dados jr,SP,"
        JOB DESCRIPTIONDirecionar um ou mais clientes internos em diversos projetos de Analytics e Insights, através das metodologias de Storytelling e Frameworks the guided analytics. Entender profundamente o negócio para definir as análises necessárias, com o suporte dos demais analistas.Você será a ""cara"" de dados para os clientes internos e deve ser capaz de entender e planejar a entrega de todas as suas requisições no curto e médio prazos, com suporte mínimo da liderança de dados.MAIN RESPONSIBILITIESDesenvolvimento de soluções de Self - Service de dados; Análises exploratórias, descritivas e prescritivas end-to-end; Dashboards para Guided Analytics; Suporte a tomada de decisão; Ponto de contato (BP) com times de negócio, squads e/ou liderança; Priorização de demandas; Identificação de oportunidade de projetos;Projetos Internos de dados.REQUIREMENTS AND SKILLSEstatística Avançada | Análise Descritiva, probabilidade, inferencia, bootstrapping, testes de hipótese, regressão, modelagem e métodos;Data Visualization | Drill down e Roll up, slice & dice, LOD;Storytelling | Frameworks de analise, sumarização de problemas, usecases, personas;Logica de Programação | Escrever e revisar queries em banco de dados, usar parametros, cirar variáveis;SQL | Porque dado em planilha é coisa do passado;Looker, Metabase ou outras plataformas de Self-Service de dados | Pra se colocar sempre no lugar do cliente;Tableau, PowerBi ou outras ferramentas de Data Visualisation | Ninguém aguenta mais tabelão e flat file;Python ou R | Pra quando a coisa fica bem séria.Nossa missão é deixar a vida das pessoas mais fácil todos os dias, e você pode fazer parte disso! 🚀Fundado em Vitória (ES) em 2012, o PicPay é uma empresa de tecnologia que nasceu para tornar a vida financeira mais fácil ao reinventar a forma como as pessoas lidam com dinheiro, fazem compras e se comunicam. Em 2015, a empresa foi investida pelo grupo J&F, um dos maiores conglomerados empresariais do Brasil.Atualmente, como o super app brasileiro com maior número de usuários — 60 milhões —, o PicPay busca oferecer produtos e serviços para todos os momentos do dia a dia dos clientes, combinando os benefícios de cinco frentes em uma única plataforma: social, carteira digital, marketplace financeiro, PicPay Store e anúncios.Nossa cultura é nosso filtro! Nossos valores, são nossos guias para tomada de decisões. São eles: Atitude de Dono, Disciplina, Determinação, Disponibilidade, Simplicidade, Humildade e Franqueza.Nossas crenças!Somos uma equipe diversa conectada pelos mesmos valores, e para cumprirmos essa missão, acreditamos que a diversidade é fundamental nessa jornada. O respeito, a ética, a busca pela equidade e a valorização da pluralidade são elementos inegociáveis e fazem parte da prática do nosso dia a dia aqui no PicPay.Nossos grupos de afinidades como o Afro (pessoas pretas), Inclui (pessoas com deficiência), Pride (LGBTQIA+) e Elas Que Lutem Juntas (mulheres), desenvolvem projetos e treinamentos recorrentes, além de ações estruturantes para que nosso ambiente tenha mais segurança e inclusão.Por isso, nossas vagas estão abertas para todas as pessoas, independente de gênero, religião, etnia, deficiência, idade, orientação sexual ou qualquer outro fator.E o mais importante! Nossa equipe é apaixonada pelo que faz, por isso somos PicPay Lovers. Vem fazer parte dessa jornada! 💚Benefícios para os PicPay Lovers: Saúde e Bem-estar: Além de Assistência Médica e Odontológica, oferecemos Seguro de Vida e o PicPay Acolhe, um programa que cuida de você e seus familiares, com apoio jurídico, social, psicológico e financeiro. E claro, não podemos esquecer da nossa parceria com a Gympass.Somos flexíveis:  Por meio de um cartão de crédito, bandeira Visa, você recebe seu saldo de Alimentação ou Refeição e Mobilidade, com a opção de escolher o melhor uso do seu saldo.Licença Paternidade e Maternidade: Sabemos que esse é um momento especial para uma família, e por isso oferecemos Licença Maternidade estendida de 6 meses, e de Paternidade também estendida de 20 dias.Reconhecemos resultados: PPR - Participação nos Resultados do PicPay.Quer conhecer mais um pouco e estar sempre conectado com o PicPay? Acompanhe nossas redes sociais. 🌎 Website  LinkedIn  Facebook  Instagram  Glassdoor
      ",Assistente,0,0,0,0,1,1,1,0,1,1
5,2022-02-03,Analista de Dados Júnior,SP,"

A Alpargatas, líder global no setor de calçados abertos, possui mais de 100 anos de história e um portfólio focado em marcas ícones, como Havaianas e Osklen.

Com 12 escritórios ao redor do mundo e atuação em mais de 100 países, temos como Visão ser uma empresa global, digital, inovadora e sustentável, de marcas desejáveis e hiperconectadas.

Nossos princípios de Cultura guiam nossas atitudes e promovem um ambiente colaborativo, aberto a novas ideias, onde todas as vozes são escutadas e respeitadas, na busca por sermos o melhor lugar para todas as pessoas trabalharem!

Venha fazer parte do nosso time e cresça junto com a gente!

Responsabilidades e atribuições

A tecnologia da Alpargatas está crescendo e já ocupa uma posição muito importante para os objetivos da companhia; e com o objetivo de acelerarmos a transformação digital e gerarmos alta performance, atuamos com times multidisciplinares que possibilitam uma experiência de entrega constante e focada no cliente.

Alguns Desafio Que Serão Tratados Seguem Abaixo

Entender as necessidades do negócio e conseguir traduzir para a linguagem analítica.
Realizar o data prep com aplicação dos conceitos de missing values, outliers, normalização, variáveis dummy e categorização.
Realizar testes, depuração e refatoração nos modelos existentes.
Desenvolver soluções aplicáveis respeitando os conceitos estatísticos (análise exploratória, teste de hipótese, distribuições, densidade e amostragem), análise descritiva e boas práticas de programação;
Mapear e propor soluções que melhorem a governança dos dados relacionados a clientes;
Dominar o ambiente do Google Analytics e outras fontes de dados, com a capacidade de interpretar e montar relatórios;
Possuir capacidade de aprendizagem contínua em linguagens de programação e ambientes de analytics.

Requisitos e qualificações

Formação completa em Engenharia, Ciências da Computação, Sistemas da Informação, Estatística ou áreas relacionadas;
Conhecimentos em lógica de programação, estatística, análise descritiva, tratamento de dados e pensamento analítico.
Conhecimento em Python, machine learning, data science.

Additional information

Trabalho remoto

#LI - AN1

Sobre a Alpargatas

Quem Somos?

A Alpargatas é uma empresa brasileira centenária, dona das marcas ícones Havaianas e Rothy's, além da startup tech ioasys. Presente em mais de 100 países ao redor dos cinco continentes, a Alpargatas se tornou líder global da indústria de calçados abertos.

Com orientação de longo prazo e uma Cultura forte e inspiradora conectada com a sociedade, nossa estratégia de negócios é focada na visão de sermos uma powerhouse Global, Digital, Inovadora e Sustentável de marcas desejáveis e hiperconectadas.

Acreditando que a Educação é a chave para transformar a vida das pessoas, atuamos por meio do Instituto Alpargatas em apoio às comunidades onde atuamos em três principais frentes: Educação pela Cultura; Educação pelo Esporte e Voluntariado Corporativo.

Nossa Visão

Ser uma empresa global, digital, inovadora e sustentável, de marcas desejáveis e hiperconectadas.

Nossos Princípios

Inspirados pelas pessoas

Colocamos o consumidor no centro de tudo o que acreditamos e fazemos, antecipando seus desejos, criando tendências e experiências inesquecíveis com as nossas marcas.

Encaramos o impossível

Temos a coragem de inovar e assumir riscos sem medo de errar, combinando análise e criatividade, tomando decisões simples e rápidas, aprendendo e evoluindo sempre.

Fazemos acontecer

Alcançamos resultados excepcionais e duradouros, exercendo protagonismo, reconhecendo nossas pessoas e estimulando o trabalho em equipe, fazendo valer a meritocracia.

Coração de dono

Somos um time de pessoas apaixonadas, embaixadores das nossas marcas, que defendem a nossa empresa com garra, encaram os desafios com resiliência e lideram pelo exemplo.

Crescemos juntos

Nos relacionamos de forma leve e descomplicada, focando em nossos objetivos, respeitando a individualidade que enriquece a inclusão e a diversidade, incentivando o aprendizado constante e garantindo o lugar certo para o seu crescimento pessoal.

Cuidamos do amanhã

Trabalhamos hoje protegendo o amanhã, realizando negócios sustentáveis que gerem impactos sociais, ambientais e econômicos positivos, com transparência, ética e integridade.

Saiba mais sobre a Alpa

Website
LinkedIn
Facebook
Instagram
Glassdoor",Júnior,0,0,0,0,0,1,0,0,0,0
6,2022-02-11,Analista de Dados,SP,"Responsabilidades

Consultar e extrair dados em bancos de dados SQL e gerar Dashboards, utilizando ferramentas modernas de análise de dados para subsidiar processos de tomadas de decisão.

Participar de projetos com a área cliente, fazendo a relação entre as fontes de dados e a lógica de negócio.

Gerar indicadores e insights para acompanhar métricas de resultados junto com a área de negócio.

Automação de análises de dados e outputs (Python, Power Automate);

Trabalhar em colaboração com área para entender e manter o foco em suas necessidades analíticas, incluindo a identificação de métricas e KPIs críticos, além de fornecer insights, através da mineração, análise e visualização de dados, viáveis para a tomada de decisão;

Criar e manter visualizações interativas avançadas por meio da interpretação e análise de dados, integrando vários componentes de relatórios de várias fontes de dados;

Manutenção de metadados estruturados;

Apoiar na construção de processos de qualidade e tratamento de dados;

Estar atento ao lançamento de novas soluções de mercado;

Requisitos

Logica de Programação: Escrever e revisar queries em banco de dados, usar parâmetros, criar variáveis;

Conhecimento de bases de dados relacionais;

Conhecimento de linguagens de programação aplicados na área (Python, SQL, R, PowerApps, etc.) ;

PowerBi e/ou outras ferramentas de Data Visualisation ;

Conhecimento em Excel ;",Não aplicável,0,1,0,0,1,1,1,0,1,0
7,2022-02-01,Analista de Dados,SP,"
        ResponsabilidadesConsultar e extrair dados em bancos de dados SQL e gerar Dashboards, utilizando ferramentas modernas de análise de dados para subsidiar processos de tomadas de decisão.Participar de projetos com a área cliente, fazendo a relação entre as fontes de dados e a lógica de negócio.Gerar indicadores e insights para acompanhar métricas de resultados junto com a área de negócio.Automação de análises de dados e outputs (Python, Power Automate);Trabalhar em colaboração com área para entender e manter o foco em suas necessidades analíticas, incluindo a identificação de métricas e KPIs críticos, além de fornecer insights, através da mineração, análise e visualização de dados, viáveis para a tomada de decisão;Criar e manter visualizações interativas avançadas por meio da interpretação e análise de dados, integrando vários componentes de relatórios de várias fontes de dados;Manutenção de metadados estruturados;Apoiar na construção de processos de qualidade e tratamento de dados;Estar atento ao lançamento de novas soluções de mercado;RequisitosLogica de Programação: Escrever e revisar queries em banco de dados, usar parâmetros, criar variáveis;Conhecimento de bases de dados relacionais;Conhecimento de linguagens de programação aplicados na área (Python, SQL, R, PowerApps, etc.) ;PowerBi e/ou outras ferramentas de Data Visualisation ;Conhecimento em Excel ;
      ",Não aplicável,0,1,0,0,1,1,1,0,1,0
8,2022-02-10,Analista De Dados,SP,"Local de trabalho: São Paulo, SP Regime de contratação de tipo Efetivo – CLT Jornada Período Integral Empresa no ramo Trade Marketing, possui marca consolidada ao qual garante confiança e inovação, agilidade e eficiência em seus processos. Atualmente em ascensão gerando resultados e impactando na sociedade. Empresa oferece oportunidade de crescimento aos colaboradores. Atribuições do Cargo: Especialista em roteirização nacional de equipe de promotores; Análise de payback do atendimento de cada promotor; Desenho de atendimento inteligente de acordo com o melhor custo de deslocamento; Identificar oportunidades e novas formas de apresentação dos dados e KPIs do projeto; Desenvolvimento de relatórios analíticos de efetividade de atendimento; Indicação de solução de problemas com base nos dados; Revisar e validar o banco de dados do projeto à medida que são coletados; Acompanhar as políticas e processos de coleta de dados dos projetos; Monitorar resultados dos relatórios em Power BI; Revisar os arquivos dos projetos para garantir a integridade da coleta e utilização dos dados; Definir KPIs ideais de análise de acordo com cada projeto; Requisitos: Excel do intermediário para avançado. Boa comunicação; Dinamismo; Pensamento analítico; Pro atividade na gestão das tarefas e demandas; Organização extrema; Disponibilidade para trabalhar de forma presencial na região da Zona Oeste/SP, Experiência em agencias de trade marketing; Experiência de 2 anos comprovada em carteira de trabalho; Informações Gerais: Tipo de Contratação: Temporário/CLT com efetivação; Remuneração: 2.200,00 Benefícios: VT conforme o deslocamento do candidato; VR 25,00 por dia; VA 133,00; Assistência Odontológica (custo coparticipação); Seguro de Vida; Jornada de Trabalho: Presencial Escala de Trabalho: 09:00 ás 19:00 Segunda á Sexta-feira Local de trabalho: Vila Leopoldina/SP

Beneficios

Formação Acadêmica:

Não informado

Salário

Experiência:

A combinar

Cargo

Programador

Empresa

Neo Empregos

Empresa atua com call center.

Ramo

Recursos Humanos/ Recrutamento e seleção",Assistente,0,1,0,0,1,0,0,0,0,0
9,2022-02-07,Analista de Dados Jr. - Remoto,SP,"Na sua vida, tem alguém que você gostaria muito de sempre proteger? Se você pensou em alguém, muito provavelmente você precisa de um seguro de vida.

Um seguro de vida não vai proteger as pessoas que você ama como você protegeria, mas ele tem a função de garantir que os sonhos e os planos dessas pessoas continuem, mesmo que você não esteja mais aqui.

E é por isso que estamos aqui. Criamos um seguro de vida feito para ser pago, feito para honrar sua confiança, feito para você. Se todo mundo precisa de um seguro, nós chegamos para democratizar esse acesso e revolucionar a forma como as coisas são feitas. Chegamos para simplificar, para facilitar o acesso ao seguro de vida!

Nós somos a Azos, viemos para proteger os sonhos das famílias brasileiras.

____________________________________________________________

Na área de dados você fará parte de um time que irá construir a arquitetura de dados, utilizando abordagens e tecnologias inovadoras do mercado. Também apoiará a criação de uma plataforma de produtos em realtime.

Como Analista de Dados Jr. você será responsável por:

Coletar e converter dados em insights para tomadas de decisões relacionados a pessoas na organização;
Desenvolver soluções técnicas e automatizações dos conjuntos e estrutura de dados;
Tratamento de base de dados;
Construir dashboards, storytelling e indicadores utilizando ferramentas de BI;
Automação de relatórios e base de dados;
Manutenção de dashboards descritivos e preditivos;
Identificar oportunidades para gerar e aprimorar soluções, conectando as novas técnicas analíticas disponíveis (no mercado inclusive).

Importante você saber/ter:

Experiência em projetos focados em análise de dados;
Conhecimentos em linguagens de programação voltadas para análise de dados (Python ou R);
Conhecimentos a nível de consultas em banco de dados relacionais (SQL);
Conhecimentos em estatística;
Experiência em ferramenta de visualização de dados (Power Bi).

Seria legal se tivesse:

Conhecimentos em AirFlow;
Conhecimentos em banco de dados não relacionais (MongoDB);
Experiência com Git;

Nossos Benefícios:

Aqui você é literalmente dono do negócio, com possibilidade de planos de stock options;
Você pode optar por trabalhar nos nossos escritórios em Belo Horizonte e São Paulo, ou remotamente de qualquer lugar do mundo! E melhor ainda, você pode usar a Beer or Coffee e encontrar um escritório bem pertinho de você;
Para facilitar o seu trabalho remoto, conte com o nosso auxílio home office e auxílio setup;
Temos benefícios flexível, para usar no supermercado, refeição, com aquele delivery no final do dia, com cultura, educação ou com o que bem entender;
O nosso plano de saúde tem cobertura Nacional na modalidade apartamento, para você e seus dependentes. Contando ainda com o apoio 24/7 da Pipo Saúde;
Gympass;
Segurança para você e sua família, com o nosso Seguro de Vida - afinal it's what we do ;)
Day off de aniversário para você curtir o seu dia fazendo o que mais ama;
E principalmente, você vai trabalhar com um time incrível, de ótimas pessoas, com uma energia lá em cima e com muita vontade de mudar o mundo dos seguros. E se isso não for o bastante, você vai escutar muito ""Uai"", ""Tem base um trem desse não"" , Oxe, ""Meu"", e assim por diante...",Não aplicável,0,0,1,0,1,1,0,0,1,0
