Index,Date,Job Title,Location,Description,Seniority,Azure,Excel,Git,Google Sheets,Power Bi,Python,R,Sas,NoSQL,SQL,Tableau
0,2023-07-13,Data Analyst,AZ,"Job Responsibilities




The Data Analyst transforms data into insights that drive business value. This position blends hard skills like programming, data modeling and statistics with soft skills like communication, analytical thinking and problem-solving.Through use of data analytics, data visualization and data modeling techniques and technologies, the Data Analyst will identify trends that can help other departments, managers and executives make business decisions to modernize and improve processes in the organization as well as help us tell stories through the results of our many marketing campaigns.




The Data Analyst role is increasingly important as our company moves to capitalize on the volumes of data we collect. The Data Analyst will be responsible for discovering trends across marketing campaigns and identify where improvements can be made to save the client money or increase profits. This will be done by mining complex data using BI software and tools, comparing data to competitors and industry trends and creating visualizations that communicate findings to others in our company or the clients. Job responsibilities include:




Oversee the deployment of data to the data warehouse.
Develop policies and procedures for the collection and analysis of data.
Create or discover new data procurement and processing programs.
Work with IT representatives to deploy software and hardware upgrades that make it possible to leverage big data use cases.
Review and validate influencer marketing and social media data as it's collected.
Monitor analytics and metrics results.
Implement new data analysis methodologies.
Review client files to ensure integrity of data collection and utilization.
Perform data profiling to identify and understand anomalies.
Create and present reports on data trends as requested.
Further establish benchmarks for industry and client programs.
Live into the values of McKinney




Requirements




Adaptability - Adapts to changes in the work environment; manages competing demands; changes approach or method to best fit the situation; able to deal with frequent change, delays, or unexpected events.
Analytical - Uses data and logic to form conclusions and make decisions that improve outcomes positively in alignment with campaign goals
Attendance/Punctuality - Ensures work responsibilities are covered when absent; arrives at meetings and appointments on time.
Dependability - Follows instructions and responds to management direction; takes responsibility for own actions; keeps commitments; commits to long hours of work when necessary to reach goals; completes tasks on time or notifies appropriate people with an alternate plan.
Ethics - Treats people with respect; keeps commitments; inspires the trust of others; works with integrity and ethically; upholds organizational values.
Judgment - Displays willingness to make decisions; exhibits sound and accurate judgment; supports and explains reasoning for decisions; includes appropriate people in decision-making process; makes timely decisions.
Motivation - Sets and achieves challenging goals; demonstrates persistence and overcomes obstacles; measures self against standard of excellence; takes calculated risks to accomplish goals.
Oral Communication - Speaks clearly and persuasively in positive or negative situations; listens and gets clarification; responds well to questions; demonstrates group presentation skills; participates in meetings both internally and externally to clients.
Organizational Support - Follows policies and procedures; completes administrative tasks correctly and on time; supports organization's goals and values; supports affirmative action and respects diversity.
Planning/Organizing - Prioritizes and plans work activities; uses time efficiently; plans for additional resources; sets goals and objectives; organizes or schedules other people and their tasks; develops realistic action plans.
Professionalism - Approaches others in a tactful manner; reacts well under pressure; treats others with respect and consideration regardless of their status or position; accepts responsibility for own actions; follows through on commitments.
Project Management - Develops project plans and completes work in a timely manner. Strives to increase productivity; works quickly.
Self Starter - Strong desire and enthusiasm to learn and come up with solutions to problems without explicit direction.
Teamwork - Balances team and individual responsibilities; gives and welcomes feedback; able to build morale and group commitments to goals and objectives.
Quality Management - Demonstrates accuracy and thoroughness; looks for ways to improve and promote quality; applies feedback to improve performance; monitors own work to ensure quality.
Written Communication - Writes clearly and informatively; edits work for spelling and grammar; varies writing style to meet needs; presents numerical data effectively; able to read and interpret written information.




TECHNICAL SKILLS, EXPERIENCE, KNOWLEDGE AND COMPETENCIES REQUIRED::




Mastery of Google Sheets and other capabilities within the Google Suite (Slides, Docs and Gmail)
Advanced Microsoft Excel Proficiency (Vlookup, Sumif, etc)
Basic SQL skills
Basic data modeling proficiency (Basic Joins, best practices)
Statistical knowledge
Basic stats required
Experimental knowledge (basic)
A deep interest in data/analytics
Comfortable and excited in working in ambiguity.
Ability to learn and explore new and unfamiliar tools proactively.
Attention to detail and a strong eye for quality assurance
Excellent time management skills and ability to prioritize multiple competing projects
Proven organizational skills
Critical thinking skills; both strategic and analytical


BONUS POINTS

Data Visualization experience (Google Data Studio/Tableau/ Looker, etc)
Basic HTML/Javascript
Git/Source Control
Python analytics stack (Python, numpy, pandas, Jupyter notebooks)
Bigquery/Google cloud analytics experience
Google Analytics experience
Familiarity of social media and influencer marketing
Cativ8 experience
Google Tag Manager/Publisher tracking implementation
AirFlow or similar data pipelining tools


DIRECT REPORT

This position does not have any direct reporting responsibilities.

TRAVEL

This position may require travel for client meetings.",Entry level,0,1,0,1,0,1,0,0,0,1,1
1,2023-07-18,Data Analyst,NY,"About January Digital




January Digital is the Digital Leadership Company. We solve business challenges for retail, CPG, and beauty clients through media excellence, strategic guidance, and actionable analytics. Our agency team handles full funnel media planning, execution, and optimization while our consulting team offers true strategic leadership that builds successful client businesses. All our work is supported with a strong foundation of data and actionable insights which ensure our clients are as successful as possible.




As a company, our motto is to build a company that improves the lives of our clients, our people, and the world around us. We support this mission through a number of efforts including our WORKS program. Good Works in our philanthropy program that ensures we have an outsized impact on our surrounding communities through financial and volunteering efforts. Our Well Works program focuses on the mental, physical, and spiritual health of our employees through required minimum PTO, an annual wellness stipend, fully paid health care, fully paid counseling services, extended parental leave, and much more.




Between our work and our culture, January Digital has been recognized more than 125 times including being a best place to work, five-time INC 5000 fastest growing company, and numerous times for our tactical and strategic excellence.




If this sounds like you, we welcome you to apply with us.




About The Role




Our Analytics team is in service of our business teams and our valued clients. This means working quickly to resolve issues, being forward thinking about the betterment of client businesses, and showing up with informed perspectives. It means living by our Core Values and working with a sense of collaboration and discovery. Our Analytics team is lean and quickly growing. So, each team member has a vital role and is paramount to the growth of our business and to our clients' success.




Responsibilities




Analyze and interpret data trends in digital marketing campaigns using statistical techniques, providing data-driven optimization recommendations.
Collaborate with cross-functional teams to transform complex data analysis into compelling visualizations, dashboards, and reports for stakeholders.
Work with the broader analytics team to develop data models for efficient data analysis and support in defining key performance indicators (KPIs) for campaign success.
Keep up to date with industry trends and best practices to influence reporting and analysis methodologies.
Work with Client Services to track performance metrics across all marketing channels and provide actionable insights.
Use statistical techniques, regression analysis, and forecasting methods to evaluate campaign performance and provide data-driven optimization recommendations.
Prioritize, manage, and work with analytics team to resolve any data related requests and issues generated from the business teams.
Keep abreast of latest trends and advancements in data visualization techniques and tools, recommending new approaches to enhance data communication and reporting.




Qualifications




Bachelors or masters degree in a quantitative field (e.g., Mathematics, Statistics, Economics, Engineering) preferred.
2+ years of experience in a fast-paced, data-driven environment, preferably in performance marketing analytics.
2+ years working with Tableau, preferably in tracking and visualizing performance metrics.
Proficiency in SQL and a scripting language (Python), with experience in machine learning and deep learning frameworks.
Knowledge of A/B testing, Multi-Touch Attribution, and Media Mix Model.
Experience with digital advertising platforms and web analytics tools.
Extremely strong communication skills with the ability to present complex data insights in a concise manner to a non-analytical audience.
A team player, ready to convert insights into actions swiftly with cross-functional leadership.




About You




One part builder, one part tinkerer, one part team spirit. You take great joy in making data understandable and discovering insights that can inform business decisions.
A true collaborator who operates with the knowledge that we have grown in an organic manner through excellent business results for our clients and strives to be an agent for betterment for our clients' businesses every day.
You enjoy process - implementing it, following it, and iterating where needed.
A creative thinker who isn't afraid to challenge the status quo and think outside the box.
Personable and kind, yet direct. You know how to cultivate a relationship while staying on task and getting the job done.




Benefits & Perks




Competitive and equitable pay, 401k matching, and bi-annual bonus eligibility
Flexible PTO and Half-Day Fridays
Philanthropic Efforts and Paid Time Off to Volunteer
Fully covered medical, dental, and vision insurance
Annual Wellness Stipend
Currently a hybrid work environment with stunning NYC & Dallas offices
Suite of parental benefits, including generous paid leave, 529 scholarship fund, Milk Stork, and fully stocked mother's room




January Digital is committed to providing our employees with flexible work options that allow them to balance their professional and personal responsibilities. As such, we offer a hybrid work policy that allows employees to divide their time between working in the office and working remotely. Under this policy, employees are required to work in either our Dallas or NYC office at least 5 days per month, however you are welcomed to come in as often as you'd like! These days will be determined by your manager and/or team.




The salary range for this role in New York City is $75,000 - $85,000, depending on experience. Our salary ranges are based on paying competitively for our size and industry, and are one part of the total compensation package that also includes a bi-annual performance bonus, free health insurance, annual wellness stipend, company 401k contribution, & more.




Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to qualifications for the role, experience level, skillset, and specific work location. We expect the majority of the candidates who are offered roles at January Digital to enter the organization at a pay rate across this range and based on these factors, with room for internal growth through our annual merit increases.",Entry level,0,0,0,0,0,1,0,0,0,1,1
2,2023-07-20,Data Analyst,FL,"Role Purpose

Design, develop, and implement advanced data analytics products and services to support exciting entertainment projects worldwide. You will provide insight across existing Holovis solutions, and support advanced capabilities of new Holovis solutions that become new, innovative stand-alone advanced Analytics systems in their own right.




Key Objectives

Deliver advanced Analytics products and services across three areas; Existing Holovis solutions, Analytics and AI capabilities in new Holovis Solutions
Standalone Analytics products and services e.g. Descriptive/Predictive/Prescriptive Models.
Contribute to the design of a ‘Analytics as a Service’ (AaaS) model.
Deliver a flexible and scalable development pipeline that allows rapid prototyping, model training, monitoring and continuous deployment across productionised products and services.




Your experience

Experience working in a production-orientated environment, focusing on rapid prototyping and minimum viable product delivery.
Experience in utilising distributed storage and processing systems to design innovative, scalable, low latency Data Products and services (internally and/or externally).
Comfortable working collaboratively in a project-orientated environment with a variety of stakeholders and subject matter experts.




Your Skills

MS Azure, EventHub, PowerBI, Databricks, Data Pipeline (eg. Apache NiFi), Apache Supersets and Postgres.
Development of Reporting and Visualisations
Requirement gathering and documentation
Linux administration & shell scripting.
Strong SQL skills and a good understanding of data management principles.




About You

You have the right to live, work and drive in the USA, and happy to work at our facility in Orlando
You are confident travelling globally, ready to travel to sites across the USA and worldwide
You enjoy working with diverse teams across multiple disciplines, countries and time zones",Associate,1,0,0,0,1,0,0,0,0,1,0
3,2023-07-18,Data Analyst,UT,"Pura, based in Pleasant Grove, UT, has been revolutionizing self-care and iOT (internet of things) connected experiences in homes for the past several years. We obsess over providing world-class experiences for our customers, partners, and vendors. We're looking for candidates who are committed to Human-Centered design & delivery. We pride ourselves on maintaining a team-based culture, quality, innovation, and continuous growth and development! Our teams build and maintain apps, services, fragrances, and devices that power all of the connected experience platforms for Pura customers internal and external.




We are currently hiring a Data Analyst to join our growing Product team. We are looking for an experienced analyst who loves solving problems and telling stories with data analysis and visualization.




This person will help enable a data-first product culture and will work closely across multiple product teams to measure user engagement, feature adoption, and product performance.




This person will also help provide insights and opportunities to our Brand Partners for securing and expanding their footprint in our website marketplace.




Who you are committed to being:




You are focused on making progress every day
You are comfortable establishing and evangelizing a desired end state, or outcome, and motivating others to come along
You ask detailed and specific questions, understand nuance, and question conventional wisdom
You care about the success of your customers, partners, and team members
You understand that what people say they want and what they actually want may differ




What you'll own:




Head data-based projects and initiatives to support product team KPIs and brand partnerships
Define, analyze, and help track new metrics that inform strategy
Compile, analyze, visualize, and interpret critical product and web analytics data for presenting to teams and brand partner stakeholders
Provide quantitative balance throughout the entire product life cycle (research, design, implementation, and iteration)
Make recommendations on how to improve user experience and business performance
Explore data to find trends and opportunities for our product teams and brand partners
Develop and maintain data dashboards and reporting, including ad hoc requests and reporting automation




Experience you'll need:




2-4 years of experience in a data analysis role
Advanced experience with Google Analytics or GA 360 (or equivalent analytics platform)
Proficiency with Microsoft Office applications (Excel, SQL)
Experience in a data visualization tool (ex: Domo, Tableau)
Experience in advanced analytic and statistical techniques, A/B testing, customer segmentation, marketing effectiveness, and revenue/opportunity attribution
Experience building and automating management-level reporting
Strong communication skills. Demonstrated ability to speak on a technical level and communicate clearly with engineers, customer service, marketing, manufacturing, and designers
Experience facilitating cross-functional teams with a strong sense of accountability




We know that each candidate may not meet all the listed requirements, but please apply anyway!




Pura's story




At Pura, we’re pairing smart tech with premium fragrance to create a perfectly personalized and customized scenting experience for the individual. We partner with brands like Disney, Capri Blue, and Anthropologie to bring original and well-loved fragrances to homes in a modern, convenient, and safe way. We know we’ve only just begun to unlock the possibility of scent, and we’re excited for the opportunities that lie ahead.




We’re quickly turning heads and getting noticed. We raised a seed round of 4.4M in February of 2020, was recognized by Inc. Magazine as a 2021 Best Workplace, won the Silicon Slopes Hall of Fame & Awards Advertising category in 2022, and we’re currently the 6th-fastest growing company in Utah. Check out our Instagram @pura and TikTok @trypura channels for a look into the excited, engaged community we’re building. We pride ourselves on being a human brand and in creating a culture worth talking about, and we have big goals for the future.




Join the Pura Team!




All candidates are subject to a background check.




Pura provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.




Powered by JazzHR




GrvC5EN48q",Mid-Senior level,0,0,0,0,0,0,0,0,0,1,1
4,2023-07-28,Data Analyst,NY,"Tablet is how you book the world’s most exciting hotels — places where you get a memorable experience, not just a room for the night. For over 20 years we've scoured the earth to find hotels that stand out for their style, service, and personality — regardless of price. In fact, our painstaking curation led to Michelin making us the official hotel selection of their legendary MICHELIN Guide. The MICHELIN Guide has always been a benchmark in gastronomy. Now it’s setting the same standard for hotels.




Our mission is to open doors to places people will love that they might not have found on their own, extraordinary places that reflect the beauty and diversity of the world. Our team believes that travel brings people of all backgrounds together. Our hotels provide an unforgettable backdrop for that union.




Headquartered in New York City, we operate in eight languages, bringing the top 1% of hotels in over a hundred different countries around the world to our discerning clientele via our website and app. And if you really want to take it to the next level, our Plus membership program provides VIP upgrades and amenities at hundreds of our properties.




Data Analyst




In addition to our own channels, Tablet provides the hotel booking infrastructure for the MICHELIN Guide’s website and mobile apps which feature full restaurant search by Michelin in addition to full hotel search and booking by Tablet. We operate like a startup within Michelin, offering high impact opportunities as we influence the digital transformation for the Michelin Experiences group (gastronomy and travel).




As our sole Data Analyst, you’ll be aligned with the Michelin Experiences group’s larger data team and Tablet’s Head of Technology in supporting the hotel business. This is a highly visible and influential role that works closely with executive teams and departments across both Michelin Experiences and Tablet. You’ll provide reporting and presentation of business data through analysis of broad user metrics spanning Tablet’s website and mobile app and Michelin GUIDE channels (website and mobile apps) in order to evaluate performance of the hotel offering in relation to restaurant user engagement and behavior patterns.




The role is tasked with developing business solutions, success metrics, and identifying growth opportunities through analysis and modeling of large complex datasets. This requires tracking and forecasting business performance against KPIs, generating dashboards for non-technical stakeholders, and creating insightful (yet digestible) presentations that inform business strategies. Additionally, you’ll advise teams on and develop improved data collection systems to build data pipelines capable of producing real-time analytics so Tablet and Michelin Experiences can better make fact-based data-informed decisions.




Requirements




3-5 years experience in data engineering or analyst roles in an ecommerce environment
Understanding of product analytics and performance marketing
Strong proficiency with MySQL or PostgreSQL
Strong proficiency in MS Excel and Google Spreadsheets
Experience with web analytics tools (Google Analytics, Omniture, or related)
Experience with data visualization tools like Metabase, Looker, Kibana, or Tableau
Experience with Python and/or R utilizing data libraries like Pandas and NumPy
A bachelor’s degree in a quantitative field like Economics, Mathematics or Statistics is highly preferred




This is a hybrid role requiring two days per week in our New York City office.




$85 - 100k Annual salary based on experience


",Entry level,0,1,0,0,0,1,1,0,0,1,1
5,2023-07-15,"Data Analyst, Operations",CA,"Description




Returnmates is a fast-growing, seed-stage, LA-based technology and logistics startup that provides brands with a customer-centric delivery and returns experience for their shoppers. Our mission is to make online shopping more enjoyable by creating a seamless post purchase experience. We combine technology and logistics to provide a white-glove service for consumers -- step by step delivery tracking, SMS customer support, and boxless, printerless (!) doorstep returns. If you want to join an innovative team that is tackling an area of e-commerce that has been left out to dry, this is the place for you.




The Role




Returnmates is seeking an experienced, highly skilled, and detail-oriented Data Analyst to join our last-mile logistics company. You’ll be responsible for permeating data-driven decision making throughout the organization while also driving data-led recommendations to optimize our operations. You will help design our data infrastructure, analyze large datasets, identify trends, and provide actionable insights to improve performance across all RM markets. This role reports directly into our General Manager, Special Operations.




The ideal candidate will possess strong analytical skills, experience in data manipulation and visualization, and the ability to communicate complex findings to different levels in the organization. This role will work cross-functionally across the business with Operations, Driver Ops, Logistics, Support Ops, Sales, and Tech/Product teams to execute on our customers’ daily needs. Your day-to-day efforts will support aggressive growth and expansion at a rapidly growing, early-stage startup.




This position can be remote; however, preferred markets are Los Angeles, New York City, or San Diego.




What You’ll Do:




Partner with the GM, Special Operations to attack the organization’s data needs across daily operations, partner reporting, analyses, and KPI monitoring
Collect, clean, and analyze large volumes of data to identify trends, patterns, and insights within the RM business
Architect, design, develop, and implement data models, algorithms, and statistical analyses to optimize operational efficiency, resource allocation, and unit profitability
Identify and track key performance indicators (KPIs) to measure and report on operational performance, partner performance, cost metrics, customer satisfaction, and delivery success rates
Develop dashboards, reports, and visualizations to present complex data findings in a clear and concise manner for decision-making purposes
Conduct ad-hoc data analyses and deep dives to investigate specific operational challenges, identify root causes, and recommend actionable solutions
Ensure data integrity through streamlining data collection practices and automating workflows where possible
Collaborate cross-functionally with Operations, Driver Operations, Logistics, Sales, and Support Ops to identify data requirements and define metrics for performance evaluation




Requirements




Basic Qualifications




Bachelor’s degree from an accredited college or university (data science, statistics, engineering, business)
A minimum of 3 years of experience as an analyst in the Supply Chain, Operations, Logistics, Investment Banking, Consulting, or high-growth startup areas
Strong analytical and problem solving skills, with the ability to manipulate and analyze complex datasets
Proficient in Excel, Powerpoint, and data manipulation languages such as SQL, Python, and/or R
Experience with data visualization tools such as Tableau, Power BI, Looker, Sigma, or similar platforms
Understands what a robust process looks like and can build, iterate, and automate processes in a scalable and efficient way
Desire to excel in an unstructured and fast-paced environment
Professional with a strong business acumen
Outside-the-box thinker with big visions for the future (and a plan to get there)!




Preferred Qualifications




Humble, can-do attitude with an obsession for solving problems
Exceptional interpersonal skills and a team player
Familiarity with statistical analysis techniques, forecasting models, and optimization algorithms
Excellent written and verbal communication skills with the proven ability to influence and gain consensus with senior stakeholders
Ability to use data to frame business questions, translate business needs into strategies, and implement tactics and process improvements
High tolerance for ambiguity with a natural reflex for reducing a complex business problem into well-structured tangible components
Strong project management skills
Strong understanding of ecommerce and the online returns process
Detail-oriented mindset with a focus on data accuracy and integrity
Ability to manage multiple priorities and deadlines
Lead by example in rolling up your sleeves and getting deep into the day-to-day work
Agile - able to jump from priority to priority and gain inspiration from a fast-paced environment




Benefits




You'll be excited to join the team because we have:




The opportunity to join the ground floor of a fast-paced startup experiencing hyper-growth!
100% health, vision, and dental benefits coverage for employees, and 50% coverage for eligible dependents
Unlimited PTO
Employee stock options
A fun and engaging work environment",Mid-Senior level,0,1,0,0,1,1,1,0,0,1,1
6,2023-07-08,Data Analyst Healthcare,DC,"Job Description




Mb Staffing Services is seeking a qualified Data Analyst to assist our DC Based client with data surrounding the Opioid crisis in our region. This is an interesting role and would require the experienced Data Analyst to




Respond to inbound calls in a timely and professional manner and follow identified procedures to respond, document, log, and notify the appropriate persons




Ensure that reporting remains current




Timely and accurate submission of all reports with an error rate no greater than 5%.




Perform descriptive analyses of public health data using statistical software (SAS preferred) and produce daily reports and other analytical reports as needed




Ensuring data quality and integrity, perform tasks such as electronic file transfers; listing and tabulation of data for preparation of statistical reports; and electronic file linkages




Develop analytic datasets (to include, for example, data extraction, data cleaning, matching/merging, and variable coding) and document processes in codebooks, protocols, and associated guidance documents




Design databases and tracking systems and monitor data collection activities for multiple surveillance programs




Utilize business analytics tools, such as Tableau, to perform data analysis. Support design and recommend content, format, dissemination methods, etc. Maintain and automate reporting applications and visualizations




Monitor quality assurance and quality improvement of applicable surveillance and other data systems and processes




Develop strategies for improving data processing efficiency, as well as data completeness and quality.




Work hours are Monday through Friday




8:30 a.m. to 5:00 p.m.




This position is Hybrid




Company Description




In an era of constant workforce changes, Mb Staffing Services offers something you can count on: The perfect fit! We continue this with a seamless transition. We listen intently. We think strategically. And we act methodically. We respond with speed and an eye to the future! We are a precision placement, results-oriented firm serving a full spectrum of industries and staffing needs.




In an era of constant workforce changes, Mb Staffing Services offers something you can count on: The perfect fit! We continue this with a seamless transition. We listen intently. We think strategically. And we act methodically. We respond with speed and an eye to the future! We are a precision placement, results-oriented firm serving a full spectrum of industries and staffing needs.",Entry level,0,0,0,0,0,0,0,0,0,0,1
7,2023-07-10,Data Analyst,FL,"FrankCrum is a top Workplace!



Frank Winston Crum Insurance (FWCI) issues Workers'Compensation and General Liability policies by offering flexible coverage and payment options to meet the varied needs of businesses. Over the years, FWCI has grown from a single-state insurance carrier to one that is licensed in 42 states and continues to expand. In addition to regional and product line growth, FWCI has enhanced its value-added services. What has not changed though is the firm's commitment – echoed throughout the family of companies – ""always to do the right things for the right reasons!""



Click here to learn more about FrankCrum!







The Role You'll Play to Create Success



We are excited to announce our search for a full-time Data Analyst!In this role, you will have the opportunity to impact the FrankCrum business everyday by promoting sales and client retention through excellent customer service by interpreting high-level business and user requirements and transitioning these needs into quality functional requirements.



Provides analysis that leads to actionable business insights.
Develops a deep understanding of the business, its data, and patterns.
Extracts data from multiple sources to uncover opportunities or detect issues.
Partners with business stakeholders to provide evidence-based guidance.
Improves existing reporting and design, and implement visualizations that clearly communicate results, patterns, and leading indicators.
Works iteratively in collaboration with different teams to refine initial concepts and prototypes that can be presented to stakeholders for feedback.
Contributes to data mining architecture, modeling standards and data analysis methodologies
Develops and continuously improve processes, tools, and techniques
Stays abreast of emerging tools and technologies
Contributes to data cleansing and data integrity verification ensuring continuous data quality across product verticals and related business areas.
Enhances data collection procedures to include information relevant for building analytic systems.





The Attributes We Seek



Keys to success in this position include a bachelor’s degree in Computer Science, Mathematics, Statistics, Business, Finance, or a related field. 3+ years of relevant working experience with a focus on Business Intelligence and Analytics. Extensive experience solving analytical problems and potential business opportunities.Experience with SQL, Power BI, Tableau, and other applicable tools. Must have property and casualty insurance experience.







Our Competitive Benefits



Along with this great opportunity, FrankCrum also provides exceptional benefits from top carriers including:



Health Insurance is $0 paycheck cost for employee's coverage and only $150/month for family!
Dental and Vision Insurance
Short Term Disability and Term Life Insurance at no cost to the employee
Long Term Disability and Voluntary Term Life Insurance
Supplemental insurance plans such as Accidental, Critical Illness, Hospital Indemnity, Legal Services and Pet Insurance
401(k) Retirement Plan where FrankCrum matches 100% of the first 4% the employee contributes, and the employee is immediately vested in the employer match
Employee Assistance Program at no cost to the employee
Flexible Spending Accounts for Medical and Dependent Care Reimbursement
Health Savings Account funded by FrankCrum
Paid time off and holiday pay
Education reimbursement up to $5,250 tax free per calendar year
PTO cash out
Tickets at Work and access to the Corporate America Family Credit Union
Employee and client referral bonus program
Paid volunteer time





What's Special About FrankCrum



FrankCrum, a family-owned business-to-business entity since 1981 made of several companies: FrankCrum Corporate (a professional employer organization), FrankCrum Staffing, Frank Winston Crum Insurance Company, and the FrankCrum Insurance Agency - all based in Clearwater, Florida. This ""family of employer solutions""employs approximately 400 people who serve over 4,000 clients throughout the United States. FrankCrum employees are trained to deliver high value through exceptional customer service and treat clients and coworkers like family. By living by our Brand Pillars (Integrity, Affinity, and Prosperity) employees are recognized at quarterly events for exceptional customer service and milestones in tenure.







The FrankCrum headquarters spans 14 acres and includes a cafe, subsidized for employees. Menus include made-to-order breakfast, hot lunch options and even dinners that can be ordered to-go, all at very affordable prices. The cafe also plays host to monthly birthday and anniversary celebrations, eating and costume contests, and yearly holiday parties. Through the input of its own employees, The Tampa Bay Times has recognized FrankCrum as a Top Place to Work for more than 10 years in a row! FrankCrum also supports several community efforts through Trinity Cafe, the Homeless Empowerment Program, and Clearwater Free Clinic!







If you want to play this role to positively impact our client's day-to-day business, thenapply now!







FrankCrum is an Equal Opportunity Employer that does not discriminate on the basis of actual or perceived race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and pregnancy-related conditions), gender identity or expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, genetic information, or any other characteristic protected by applicable federal, state or local laws and ordinances.

",Entry level,0,0,0,0,1,0,0,0,0,1,1
8,2023-07-27,Data Analyst,NY,"Vevo is the world's leading music video network, connecting an ever-growing global audience to high quality music video content for more than a decade. Founded by Universal Music Group and Sony Music Entertainment in 2009, Vevo offers fans worldwide a vast array of premium content to choose from, showcasing official music videos alongside a constantly developing lineup of live performances and innovative original programming. From top superstars to rising new talents, Vevo brings incomparable cross-promotional support to artists across the musical spectrum, at every stage of their careers.




Vevo has consistently evolved over the past decade to lead within today's ever-changing media landscape, embracing partnerships with a number of leading distribution platforms to deliver extraordinary content within ad-supported environments. With more than 25B views across television, desktop and mobile devices each month, Vevo brings music videos to the world – when, where, and how fans want them.




This Data Analyst will help continue our expansion of our Data Analytics Department. The ideal candidate will have the ability to sift through large data sets, parse out key trends, and clearly communicate findings to stakeholders. A major responsibility of this role will be to help automate reporting, build dashboards in Looker, and expand relationships with other departments to help enable data driven business decisions. This is a unique opportunity for motivated individuals to help drive innovation and thought leadership throughout a vibrant and dynamic organization.




As a Member Of This Team You Will




Communicate concise data points, trends and measurement strategies to a broad audience of both technical and non-technical teams
Collaborate with Distribution Operations, Content and Programming, and Partner Management teams to develop reporting and assist in ad hoc requests
Build robust data visualizations and interactive dashboards that are capable of delivering information in an intelligent and digestible manner
Bring forward insights, results, and suggest optimizations to improve said results
Peel through layers of reported data, disregarding the unnecessary, to deliver analysis and insight to both internal and external client constituents
Assist in developing workflows for data aggregation, and harmonization from multiple endpoints into one single system
Establish QA protocols to ensure accuracy and data granularity for analyses




This Describes You




An analytical mindset with the ability to communicate findings to others
An independent worker with strong time management and organization skills
A problem solver with the ability to develop creative solutions
A strong team player, willing to roll up your sleeves and collaborate with others
Nimble and flexible with ability to succeed in a fast-paced environment
Detail oriented with a commitment to follow through




Requirements




Strong analytical skills are required, including the ability to analyze raw data, identify trend drivers, draw conclusions, and summarize actionable recommendations and their forecasted outcomes/implications
Expertise in Microsoft Excel and PowerPoint
Knowledge of data structuring with SQL, R, Python preferred as well as an understanding and past experience with Redshift and AWS
Strong organizational skills, with the ability to aggregate information and data from multiple sources
Experience with Looker or other data visualization/dashboarding tools is a plus
Excellent verbal and written communication skills, with ability to convey and package technical findings in layman’s terms
Ideally 1-2 years relevant experience preferred




Interested? Great! You might like to know:




We're a fun, energetic, and tight knit team
We really enjoy music and technology
We have competitive compensation and benefits packages
We have premier access to music content and new releases of original media content




The pay range for this position is: $60k-$70k per year. Please note that the foregoing compensation information is a good-faith assessment associated with this position only and is provided pursuant to the New York City Transparency Law.




This is a full-time position based on-site/in our New York office. Vevo currently operates in a hybrid work model and requires all employees, who have not been designated as ""remote"" to be in the office/studio a minimum of 3 days a week.




Vevo considers applicants for all positions without regard to race, color, creed, religion, national origin or ancestry, sex, age, disability, genetic information, veteran status, or any other legally protected status under local, state, or federal law.",Entry level,0,1,0,0,0,1,1,0,0,1,0
9,2023-07-14,Python/SQL Data Analyst,NY,"Job Description




Bardess is looking for a data analyst skilled in Python and SQL, who is interested in working alongside both data scientists and BI specialists to build out analytics solutions for customers.




You will be working alongside highly experienced technical consultants, project managers and sales staff. Bardess consultants are self-motivated, results-oriented people, and diplomatic problem solvers.




Responsibilities




Perform data analytics using Python and SQL to meet client business requirements
Work closely with Bardess data scientists to perform exploratory data analysis (EDA) and data transformations in Python and SQL
Develop and schedule processes to extract, transform, and store data from various systems (SQL databases, S3 buckets, APIs, BI tools, etc.)
Support BI specialists by implementing backend data solutions
Communicate with client to help determine needs, plan out delivery, and present results




Qualifications And Skills




Experience:




2 years relevant experience as a data analyst




Education:




Bachelors degree




Required skills:




Strong experience with SQL
Significant experience with Python for data manipulation (pandas), data visualization (matplotlib) and data connections (connecting to APIs, SQL connectors etc.)
Excellent communication skills
Ability to work both independently to identify customer requirements, and collaboratively to address those requirements




Helpful-to-have skills:




Experience with BI tools, especially Qlik
Experience with big data platforms, data warehouse, and cloud technologies such as Snowflake, Redshift, and Cloudera
Exposure to data science and machine learning (desire to learn more is a major plus)
Experience working in consulting or major industry
Experience communicating with clients/stakeholders, and managing projects
Experience with shell/command-line tools




Location and Travel




Remote (if desired, and when in non-pandemic conditions, there may be occasional client travel, primarily in NY/NJ/PA area)




Employment Type




Contractor or Full-time Bardess employee




Apply




Please email your resume, cover letter, and the opportunity of interest to: recruiting@bardess.com




Company Description




Contract or full time




Contract or full time",Entry level,0,0,0,0,0,1,0,0,0,1,0
